original,new,status
1-s2.0-S0264127519308524-main.pdf,1-s2.0-S0264127519308524-main.pdf,skip-pattern-or-unknown
1-s2.0-S0264127519308524-mmc1.pdf,1-s2.0-S0264127519308524-mmc1.pdf,skip-pattern-or-unknown
1-s2.0-S0307904X16303675-main.pdf,1-s2.0-S0307904X16303675-main.pdf,skip-pattern-or-unknown
1-s2.0-S0965997899000459-main.pdf,1-s2.0-S0965997899000459-main.pdf,skip-pattern-or-unknown
1-s2.0-S175558172400141X-main.pdf,1-s2.0-S175558172400141X-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785319339112-main.pdf,1-s2.0-S2214785319339112-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785319339136-main.pdf,1-s2.0-S2214785319339136-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785320378317-main.pdf,1-s2.0-S2214785320378317-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785321007136-main.pdf,1-s2.0-S2214785321007136-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785321070607-main.pdf,1-s2.0-S2214785321070607-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214785322047897-main.pdf,1-s2.0-S2214785322047897-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214860422007370-main.pdf,1-s2.0-S2214860422007370-main.pdf,skip-pattern-or-unknown
1-s2.0-S2214860423002014-main.pdf,1-s2.0-S2214860423002014-main.pdf,skip-pattern-or-unknown
1-s2.0-S2238785423000431-main.pdf,1-s2.0-S2238785423000431-main.pdf,skip-pattern-or-unknown
1-s2.0-S2352012423008949-main.pdf,1-s2.0-S2352012423008949-main.pdf,skip-pattern-or-unknown
1-s2.0-S2666351122000390-main.pdf,1-s2.0-S2666351122000390-main.pdf,skip-pattern-or-unknown
10.1515_eng-2021-0063.pdf,10.1515_eng-2021-0063.pdf,skip-pattern-or-unknown
131 Fundamental Path Optimization Strategies for E.pdf,131 Fundamental Path Optimization Strategies for E.pdf,skip-pattern-or-unknown
2002.01631v1.pdf,2002.01631v1.pdf,skip-pattern-or-unknown
BookSeries_Springer Nature_Barrier analysis for sustainable business practice of a textile and apparel industry in Fiji using an ISM approach_P233 .pdf,BookSeries_Springer Nature_Barrier analysis for sustainable business practice of a textile and apparel industry in Fiji using an ISM approach_P233 .pdf,skip-pattern-or-unknown
Cost-effective_sensor-2025.pdf,Cost-effective_sensor-2025.pdf,skip-pattern-or-unknown
FIBR3DEmul_an_open_access_simulation_sol.pdf,FIBR3DEmul_an_open_access_simulation_sol.pdf,skip-pattern-or-unknown
Fok_ACO_based_Tool_path_Optimizer.pdf,Fok - ACO Based Tool Path Optimizer.pdf,renamed
